pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Chase Anderson,2 Seam Fastball,0.64,1.3,L,0.0,0.0
Chase Anderson,4 Seam Fastball,-1.76,1.77,L,1.0,0.0
Chase Anderson,4 Seam Fastball,0.42,2.58,L,2.0,0.0
Chase Anderson,Changeup,-0.33,1.71,L,2.0,1.0
Chase Anderson,4 Seam Fastball,-0.48,1.66,L,2.0,2.0
Chase Anderson,4 Seam Fastball,0.6,3.07,R,0.0,0.0
Chase Anderson,4 Seam Fastball,1.06,2.22,R,0.0,1.0
Chase Anderson,4 Seam Fastball,0.96,1.15,R,0.0,2.0
Chase Anderson,Curveball,0.45,0.93,R,1.0,2.0
Chase Anderson,4 Seam Fastball,-0.67,0.15,L,0.0,0.0
Chase Anderson,2 Seam Fastball,-0.3,1.38,L,1.0,0.0
Chase Anderson,2 Seam Fastball,-1.95,2.04,L,1.0,1.0
Chase Anderson,2 Seam Fastball,-1.02,2.31,L,2.0,1.0
Chase Anderson,4 Seam Fastball,0.49,3.5,R,0.0,0.0
Chase Anderson,Changeup,-0.54,2.46,R,1.0,0.0
Chase Anderson,Changeup,-0.16,1.88,R,1.0,1.0
Chase Anderson,4 Seam Fastball,-1.02,2.23,R,1.0,2.0
Chase Anderson,4 Seam Fastball,-1.27,0.67,R,1.0,2.0
Chase Anderson,4 Seam Fastball,1.66,2.13,R,2.0,2.0
Chase Anderson,4 Seam Fastball,0.44,1.07,R,3.0,2.0
Chase Anderson,Curveball,0.33,1.73,L,0.0,0.0
Chase Anderson,4 Seam Fastball,1.37,2.99,L,0.0,1.0
Chase Anderson,4 Seam Fastball,0.89,3.44,L,1.0,1.0
Chase Anderson,Changeup,0.47,1.5,L,2.0,1.0
Chase Anderson,4 Seam Fastball,-0.68,2.53,L,2.0,2.0
Chase Anderson,4 Seam Fastball,0.55,2.34,L,0.0,0.0
Chase Anderson,4 Seam Fastball,1.1,4.34,L,0.0,1.0
Chase Anderson,4 Seam Fastball,1.93,1.63,L,1.0,1.0
Chase Anderson,Changeup,0.15,2.72,L,2.0,1.0
Chase Anderson,4 Seam Fastball,-0.21,2.99,L,2.0,2.0
Chase Anderson,4 Seam Fastball,-0.04,2.15,R,0.0,0.0
Chase Anderson,4 Seam Fastball,0.46,2.61,R,0.0,1.0
Chase Anderson,Curveball,1.09,0.82,R,0.0,2.0
Chase Anderson,4 Seam Fastball,-1.15,2.64,R,1.0,2.0
Chase Anderson,4 Seam Fastball,-1.35,2.5,R,1.0,2.0
Chase Anderson,2 Seam Fastball,-1.41,2.63,L,0.0,0.0
Chase Anderson,Curveball,-0.74,2.27,L,1.0,0.0
Chase Anderson,4 Seam Fastball,0.48,2.82,L,0.0,0.0
Chase Anderson,2 Seam Fastball,-1.36,2.13,L,0.0,1.0
Chase Anderson,4 Seam Fastball,0.13,1.72,L,1.0,1.0
Chase Anderson,Curveball,0.09,2.39,L,1.0,2.0
Chase Anderson,Curveball,0.52,0.97,L,0.0,0.0
Chase Anderson,4 Seam Fastball,0.57,1.98,L,1.0,0.0
Chase Anderson,4 Seam Fastball,1.0,2.35,L,1.0,1.0
Chase Anderson,Curveball,0.81,1.27,L,2.0,1.0
Chase Anderson,Changeup,-0.69,2.24,L,2.0,2.0
Chase Anderson,4 Seam Fastball,0.82,3.22,R,0.0,0.0
Chase Anderson,2 Seam Fastball,-0.61,3.57,R,0.0,1.0
Chase Anderson,Curveball,-0.05,1.79,R,0.0,2.0
Chase Anderson,4 Seam Fastball,0.25,4.4,L,0.0,0.0
